id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2016-1123610";"2016-05-04";"1";"Vente en l'état futur d'achèvement";"212000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0189";"None";"None";"46";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"nan";"nan";"000BD"
"2016-1123612";"2016-05-04";"1";"Vente en l'état futur d'achèvement";"179000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0189";"None";"None";"62";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"nan";"nan";"000BD"
"2016-1123655";"2016-05-04";"1";"Vente en l'état futur d'achèvement";"175500.0";"nan";"None";"LES HAUTS COURBES CULS";"B034";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0190";"None";"None";"68";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.296564";"48.607266";"000BD"
"2016-1123553";"2016-04-27";"1";"Vente en l'état futur d'achèvement";"240000.0";"40.0";"None";"BD PIERRE BROSSOLETTE";"2330";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0201";"None";"None";"61";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"2";"Appartement";"60.0";"3.0";"None";"None";"None";"None";"nan";"2.299114";"48.604625";"000BD"
"2016-1123553";"2016-04-27";"1";"Vente en l'état futur d'achèvement";"240000.0";"40.0";"None";"BD PIERRE BROSSOLETTE";"2330";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0201";"None";"None";"199";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.299114";"48.604625";"000BD"
"2016-1123528";"2016-04-18";"1";"Vente en l'état futur d'achèvement";"305000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0207";"None";"None";"49";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.29457";"48.605042";"000BD"
"2016-1123528";"2016-04-18";"1";"Vente en l'état futur d'achèvement";"305000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0207";"None";"None";"48";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.29457";"48.605042";"000BD"
"2016-1123528";"2016-04-18";"1";"Vente en l'état futur d'achèvement";"305000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0207";"None";"None";"28";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.29457";"48.605042";"000BD"
"2016-1123537";"2016-04-15";"1";"Vente en l'état futur d'achèvement";"300000.0";"nan";"None";"LES HAUTS COURBES CULS";"B034";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0190";"None";"None";"93";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.296564";"48.607266";"000BD"
"2016-1123537";"2016-04-15";"1";"Vente en l'état futur d'achèvement";"300000.0";"nan";"None";"LES HAUTS COURBES CULS";"B034";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0190";"None";"None";"8";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.296564";"48.607266";"000BD"
